BMW,218i Coupe M Sport,BMW 218i Coupe M Sport,"P 3,590,000 (AT)"
BMW,220i Coupe M Sport,BMW 220i Coupe M Sport,"P 3,690,000 (AT)"
BMW,M240i Coupe M Sport,BMW M240i Coupe M Sport,"P 4,890,000 (AT)"
BMW,318i Sport,BMW 318i Sport,"P 3,790,000 (AT)"
BMW,318i Touring,BMW 318i Touring,"P 3,890,000 (AT)"
BMW,M340i xDrive Touring,BMW M340i xDrive Touring,"P 5,890,000 (AT)"
BMW,420i Advantage,BMW 420i Advantage,"P 4,190,000 (AT)"
BMW,420i M Sport,BMW 420i M Sport,"P 4,790,000 (AT)"
BMW,520i Luxury,BMW 520i Luxury,"P 4,490,000 (AT)"
BMW,530i M Sport,BMW 530i M Sport,"P 4,990,000 (AT)"
BMW,735i Pure Excellence,BMW 735i Pure Excellence,"P 8,990,000 (AT)"
BMW,i7 xDrive60 Pure Excellence,BMW i7 xDrive60 Pure Excellence,"P 10,390,000 (AT)"
BMW,iX3 M Sport,BMW iX3 M Sport,"P 4,990,000 (AT)"
BMW,iX xDrive40,BMW iX xDrive40,"P 6,290,000 (AT)"
BMW,M3 Competition,BMW M3 Competition,"P 9,690,000 (AT)"
BMW,M3 Competition Touring,BMW M3 Competition Touring,"P 10,490,000 (AT)"
BMW,M4 Competition,BMW M4 Competition,"P 9,790,000 (AT)"
BMW,M5 Competition,BMW M5 Competition,"P 13,790,000 (AT)"
BMW,X1 sDrive 18d xLine,BMW X1 sDrive 18d xLine,"P 3,890,000 (AT)"
BMW,X3 xDrive 20d Business,BMW X3 xDrive 20d Business,"P 3,990,000 (AT)"
BMW,X3 xDrive 20d Professional,BMW X3 xDrive 20d Professional,"P 4,290,000 (AT)"
BMW,X5 xDrive 30d M Sport,BMW X5 xDrive 30d M Sport,"P 5,990,000 (AT)"
BMW,X7 xDrive 40d Pure Excellence,BMW X7 xDrive 40d Pure Excellence,"P 9,890,000 (AT)"
BMW,Z4 sDrive 20i,BMW Z4 sDrive 20i,"P 4,090,000 (AT)"
BMW,Z4 M40i,BMW Z4 M40i,"P 5,990,000 (AT)"
BYD,Atto 3 Dynamic EV,BYD Atto 3 Dynamic EV,"P 2,598,000 (AT)"
BYD,Atto 3 Premium EV,BYD Atto 3 Premium EV,"P 2,898,000 (AT)"
